vulnerability_id,vulnerability_aliases,affected_product,affected_subcomponent,status,status_notes,justification,impact_statement,action_statement
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-cloud-provider@v0.2.0","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-cloud-provider@v0.2.1","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-cloud-provider@v0.2.2","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-cloud-provider@v0.2.4","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-cloud-provider@v0.2.5","pkg:golang/github.com/rancher/rancher@v0.0.0-20240919204204-3da2ae0cabd1","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v0.4.4","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.5.0","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.5.0-dev.0","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.5.0-rc2","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.5.0-rc3","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.5.0-rc4","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.5.0-rc5","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.5.1","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.5.1-dev.1","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.5.1-rc1","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.5.1-rc2","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.5.1-rc3","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.5.1-rc4","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.5.2","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.5.2-rc2","pkg:golang/github.com/rancher/rancher@v0.0.0-20241119020906-df45e368c82d","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.6.0","pkg:golang/github.com/rancher/rancher@v0.0.0-20241119020906-df45e368c82d","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.6.0-rc1","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.6.0-rc2","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
"CVE-2019-13209","GO-2022-0755,GHSA-xhg2-rvm8-w2jh","pkg:golang/github.com/harvester/harvester-load-balancer@v1.6.0-rc3","pkg:golang/github.com/rancher/rancher@v0.0.0-20230124173128-2207cfed1803","not_affected","","vulnerable_code_not_present","Govulncheck determined that the vulnerable code isn't called",""
